repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
voyd-lang/voyd,drew-y,c5383a3675eb9c8a5e4cc1df51393609e1bb1fc9,45,73,-22,2686,2671,-15,2.103,2.092,-0.011,3.0
ShuhaoZQGG/jarvis,ShuhaoZQGG,e5adb2339e66025d09fa7772400680ed9d43492c,642,256,324,704,704,0,1.383,1.383,0.0,0.0
xlsynth/xlsynth-crate,cdleary,1749c52be8a33d28d49f1ddf9a9cde9c960f3f05,158,0,130,6043,6112,69,2.967,2.998,0.031,2.29
theopenco/llmgateway,steebchen,8bc76d0ce692df17177e2fd9b62a0ebb18fc97c5,149,4,130,2842,2850,8,1.901,1.896,-0.005,18.625
scottames/dots,renovate[bot],f0d485846a1c534a5a9f6a1fd82df915154054ee,82,82,0,294,294,0,2.146,2.146,0.0,0.0
citruswhale/Qrunch,citruswhale,298ecf77e46d53c7c1773cc88decf3a00e6453e9,279,9,190,20,32,12,1.818,1.882,0.064,23.25
kp30evg/evg-ai,kp30evg,109634d7730be52b4adb359a0c2b7bc4d839f957,2816,87,12979,330,405,75,1.728,1.792,0.064,37.547
backspacevenkat/polydev-website,backspacevenkat,7f8111463d2a4ba7b6e4d7d3ce6db6c9eb6bc89b,41,20,0,808,808,0,2.349,2.349,0.0,0.0
backspacevenkat/polydev-website,backspacevenkat,deb002dca7f1e0af5504c61c950e97b269a9f41f,2197,64,1336,722,808,86,2.423,2.349,-0.074,25.547
ShuhaoZQGG/jarvis,ShuhaoZQGG,bd32e543a87f44136aa2ee136cbdddf6f26dd1f0,11537,98,11259,142,156,14,1.379,1.418,0.039,824.071
datablogin/nav-insights,datablogin,fd22447f145f3709edae8f3a210e0b3b8e735bbf,755,107,515,929,1020,91,2.732,2.677,-0.055,8.297
blackborz01/ai-dev-tools-blog,Nail Muradov,e720d14813618b1b6f852f188f0976661653c100,49,23,18,2401,2406,5,1.936,1.934,-0.002,9.8
rajstories/BuildDost,rajstories,0a17b4291d3dddfae38d06457beb82721f91c3c6,59,11,1199,1045,1041,-4,1.667,1.671,0.004,14.75
wsjung2023/Tutor_module_library,mainstop3,958661afc7597b41552c73d2da66c8e82d954c0e,94,5,34,949,958,9,1.719,1.732,0.013,10.444
thewiseoldsageltd/bonushunter,barry76,d7d2be9dc6e17d219ebe3699e170f52afce794f8,7,4,3,6199,6200,1,2.713,2.713,0.0,7.0
thewiseoldsageltd/bonushunter,barry76,952ec749a74550147c15661280f9b95a4a2780bf,12,3,9,6199,6199,0,2.713,2.713,0.0,0.0
harbinzhang/harbinzhang.github.io,harbinzhang,b9b87f6b34b0a488c79448053787b4a687f78df6,2,3,0,0,0,0,0.0,0.0,0.0,0.0
theopenco/llmgateway,steebchen,aa548700979fe9126e9d663dd4d10a1c9b5e55a7,22,0,22,2841,2841,0,1.903,1.903,0.0,0.0
thomasveit89/designsnack-lead-generator,thomasveit89,06e02e0e20b09334396b5f4f5da0942519cbd692,1992,37,1467,157,318,161,2.707,3.419,0.712,12.373
kp30evg/evg-ai,kp30evg,465c8982ce2e4d75540cd0cc75dff526cec2d965,13899,1756,33291,224,330,106,1.806,1.728,-0.078,131.123
clarencemoreno/multi-agentic-ai-starter-template,clarencemoreno,e3bdea7b04b5c79bf7696f2710a072989fa8ef9c,3,3,0,0,0,0,0.0,0.0,0.0,0.0
clarencemoreno/multi-agentic-ai-starter-template,clarencemoreno,d47a9ec3d9c14ff26c46699dd321edde195aed9b,105,19,71,0,0,0,0.0,0.0,0.0,0.0
