repo,sha,parent_sha,author
kevinveenbirkenbach/infinito-nexus,58c17bf04388c2344285d8e03b93a6e8406685a9,6c2d5c52c80d5312f9d3cea83f42daac9ade4094,kevinveenbirkenbach
contestra/ai-ranker-v2,7ffb84b8a934194668167df10ffa58e6cd7bb52b,0e605e0ad6040b2ddc8eb88667a1cab68044db41,contestra
mlynnf123/scriptorumbra2,5c9f3351e9bacf98141603db749d69b6ed48b681,a5cff635bd298c6beafb7a833022320be281955f,mlynnf123
ipergamali/mysmartroute,5069ab6b285cfb6f9a412f0cf7c1f4939af85330,f4d155612cdee4fa2f0d352d09b0e223e2cd947e,ipergamali
tayler-id/tayler_id_portfolio_redesign_final,e810efbf441ea46446a46122c2d647a17e476099,03e889d252b4c823c8108b4ac37db0a950917d34,Tayler Ramsay
ipergamali/mysmartroute,f4d155612cdee4fa2f0d352d09b0e223e2cd947e,fbecb2fe4b6a169df09f5f48773aaa45aecd877c,ipergamali
ipergamali/mysmartroute,fbecb2fe4b6a169df09f5f48773aaa45aecd877c,1e39e62965bac6cdc38ed497ece15173251a24f4,ipergamali
contestra/ai-ranker-v2,0e605e0ad6040b2ddc8eb88667a1cab68044db41,3c3de8c4673b0a45f455fde63c7729b2b503c3e4,contestra
contestra/ai-ranker-v2,3c3de8c4673b0a45f455fde63c7729b2b503c3e4,5892cc334bf47e52b7134a233d473caa1f7d9929,contestra
remilatoufik1-byte/dark-control-server,12ad71b219abeaf3716f750e87a627f6733c62ad,6459b2c2bd98884f4d19db307414dc45d9ccf339,remilatoufik1-byte
kevinveenbirkenbach/infinito-nexus,9f2cfe65afabc5a9a0bdbb8b2a55b80c8ab792e7,fe399c39675833d3d36312ce3a0d8308239beb85,kevinveenbirkenbach
zabsonrekalifa4-netizen/Comparatif-EUR-USD-,9bf566138075175be5a6e21e7a84254258db0b33,5d8ba3ecec69f16e757a6353281005013bc227ca,zabsonrekalifa4-netizen
unfoldingWord/bt-servant-engine,0c54618381670dd50949a186abb76d45ba97359f,88263db5526268b8165f72c74764983cfe53ca3a,IanLindsley
yhinai/thinking-graph,d85bfb3d2d6d92c85b9054cb73917604b47dcb8b,7af7d7c6354a641157b16bab51d7588fd37c43fc,yhinai
HartfordAI/AIApiConnect,d57a094e595520d1936dc23bfc5b9c5b25de09a2,c9da8e7df895a9793bd7514338bd275b94e2764b,JamieSnyder
HartfordAI/AIApiConnect,c9da8e7df895a9793bd7514338bd275b94e2764b,4ac8d2ef6ec8d3273316d8e2a379654d7dc060d5,JamieSnyder
Dhuruvm/OsidaiMVP,865d8e9c4217afea412dae31ab4b6a1e35c09f28,11ff2be9768ec25aed0660853569c30eb72b24aa,przmoofficial
Emirchelo-Lopez/chatgpt-clone,d759856474d2c2c5f94bd24d65e2d3df56d1b087,f4c13935514716276b3b75cf8b194677c040217e,Emirchelo-Lopez
StanfordSpezi/spezi-firebase,f7c9df2890cbbefff4a55e1f2629d06e57a76afb,997fd6be9c501a9e0c7d55740a5a40d02cc0bcf1,pauljohanneskraft
nljolie/credli-ai-clean,e959a05578b485fc2bade9cfe26bc66c013f2f96,af37924f5eb5d08626d2e4b505e555202a57b0cb,Nicole Jolie Be Socially Smashing
elliottng/SigmaSight-BE,6301cabe762fd292b5a5f06facb8ac8a9fa7db53,e619e5f1b8c742d442f749eab1a7d245d26dd87a,elliottng
kevinveenbirkenbach/infinito-nexus,ef801aa49862d34a9a4a3e803488f7525d18794a,18f3b1042fb8f9526c11377d12d48babb77bb9a4,kevinveenbirkenbach
cubica/crashbaggage-smart-links,629ee0f44c3a175252617600780bb56f14a1a9b4,677abf83d8fc653384bdb56348b2577c2b862ee2,qrade
getzep/graphiti,03350335cdb184e7e122c01359f292e037b08b13,8802b7db1325abb075836836b12a37741984b1a5,jackaldenryan
ittanez/kickstart-hypno-test,010877e83b900484e8c5d5007eb67182674b1379,187a419ee3faa2f876311420d407654762c94def,ittanez
fabiobzinter-hue/soescuto,acfca6fcefe4bf12df37c2df75b7345e0af3743a,,fabiobzinter-hue
elliottng/SigmaSight-BE,3a8d09916da1ab1d2734dfb671ffa313801baf37,c37c2327d00549535b25d8e8dc4dbb47186bfe09,elliottng
PetrAnto/checklist,9ea3884b403a3391598c7f7afdf6fa0895dc3ae5,3094f580f1ca10a251cedbb13d8e30e33d8c7920,PetrAnto
Jonghyun-An/25_HS_LECTURE_R2,c8ce625f831f4ed3233d30b4b839d76099aee7fc,960bef915dd684f8bc2fbe0c99fc4e707d5fa7a1,Jonghyun-An
ptyoung65/epm,2c4de36203a57daa64edba3f2063410763ce4db8,17fa200ee06fe014ab170016e113046049a2382f,AIRIS APM Developer
kevinveenbirkenbach/infinito-nexus,18f3b1042fb8f9526c11377d12d48babb77bb9a4,dece6228a4cc2a51921975d692acc7f775daa511,kevinveenbirkenbach
JTAgentka/business_analyst_CHAT,1198a6f44114a3c0683b548c5640d582ce7ade31,,agent
splinter93/abrege,dc36b860ddf982fd35537fff9241a290ced83d52,c1c8bbf4bae97330ce67a3af627221238f2e4665,splinter93
lyz-code/blue-book,01f14f75ba6b46de59b203417aa52f42c0dd04b9,769f5caa17d66b9f88c7d1e5584a8a65ccb52912,lyz-code
matlukowski/readTube,c78d084a2f592bdd4f25caeb863768de73990dbb,2c19c48b660da6acc9f5f1731ecc8ab63f55d913,matlukowski
Charcoal-SE/SmokeDetector,1e6610838fbaebfeee6119d547bea2d9dbc15a88,8723e9f04c1ab9974e15f3cb8e488cd008164edb,SmokeDetector
Charcoal-SE/SmokeDetector,cb17b2a18ed9e9f7f3d282409feae1db00440e39,79e9aff11f8d5db94d5b4d998a8aba221fc217fd,SmokeDetector
Charcoal-SE/SmokeDetector,79e9aff11f8d5db94d5b4d998a8aba221fc217fd,c72d6644fd94140b1ffe788cfa9dbdf0649e3952,SmokeDetector
EVERLIV/HealthMind,d3301ce9030be40e60f7672ecd3c2463c3e955d7,4714ab056765aa75b0db32023a60b7c4698220ab,wewa666
HumanSignal/Adala,4228ad1d871c979adfe180dafe47367b233556d4,dceb4a7a974cfab16df570850db99e3d07267fc9,niklub
velijoze/godspeed-theme,be1894ce5316a5277b5d631ac4259489247bcbad,bf63576cd35206d148cd0a6ad409cc000b633790,velijoze
quartermasters/Nudge-AI-Chatbot,91de9b298694537c2eee4bf11767d38896c70258,a2514193b86c0ebbbf7154830e5f02bca56f13da,aliffcapital
